official_row_order,official_category,official_move_name,official_input_display,official_input_signature,official_input_family,startup,active,recovery,damage,on_hit,on_block,cancel,match_status,match_method,candidate_count,supercombo_move_id,supercombo_move_type,supercombo_input,supercombo_name,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_hit_advantage,supercombo_block_advantage,supercombo_cancel,supercombo_damage,field_comparisons_json
1,通常技,立ち弱P（ブレーンチョップ）,icon_punch_l 弱,5LP,5LP,7,7-9,9,400,4,2,C,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match+damage_match,1,zangief_5lp,ground_normal,5LP,Standing Light Punch,7(4),3,9,+4,+2,Chn Sp SA,400,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""400"", ""supercombo"": ""400""}, ""recovery"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
2,通常技,[連打版]立ち弱P（ブレーンチョップ）,icon_punch_l 弱,5LP,5LP,4,4-6,9,400,4,2,C,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match+damage_match,1,zangief_5lp,ground_normal,5LP,Standing Light Punch,7(4),3,9,+4,+2,Chn Sp SA,400,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""400"", ""supercombo"": ""400""}, ""recovery"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
3,通常技,立ち弱K（ローキック）,icon_kick_l 弱,5LK,5LK,7,7-8,17,400,-2,-4,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,zangief_5lk,ground_normal,5LK,Standing Light Kick,7,2,17,-2,-4,Sp SA,400,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""400"", ""supercombo"": ""400""}, ""recovery"": {""match"": true, ""official"": ""17"", ""supercombo"": ""17""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}"
4,通常技,立ち中P（カウンターチョップ）,icon_punch_m 中,5MP,5MP,9,9-12,17,700,2,-2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,zangief_5mp,ground_normal,5MP,Standing Medium Punch,9,4,17,+2,-2,TC,700,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""recovery"": {""match"": true, ""official"": ""17"", ""supercombo"": ""17""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
5,通常技,立ち中K（ミドルキック）,icon_kick_m 中,5MK,5MK,10,10-13,19,900,1,-4,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,zangief_5mk,ground_normal,5MK,Standing Medium Kick,10,4,19,+1,-4,-,900,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""900"", ""supercombo"": ""900""}, ""recovery"": {""match"": true, ""official"": ""19"", ""supercombo"": ""19""}, ""startup"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}}"
6,通常技,立ち強P（ダイナマイトパンチ）,icon_punch_h 強,5HP,5HP,16,16-18,22,1000,3,-3,,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+damage_match,1,zangief_5hp,ground_normal,5HP,Standing Heavy Punch,(6~22)+10,3,22(24),+3,-3,-,1000,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""1000"", ""supercombo"": ""1000""}}"
7,通常技,立ち強P（ダイナマイトパンチ）（ホールド）,icon_punch_h 強ホールド,5HP,5HP,32,32-34,22,1400,D,3,,matched_manual,zangief_name_override+category_move_type+startup_match+active_duration_match+damage_match,1,zangief_5hp_hold,ground_normal,5[HP],Standing Heavy Punch (hold),32,3,22(24),KD +40,+3,-,1400,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""1400"", ""supercombo"": ""1400""}, ""startup"": {""match"": true, ""official"": ""32"", ""supercombo"": ""32""}}"
8,通常技,立ち強K（ロシアンハイキック）,icon_kick_h 強,5HK,5HK,13,13-16,21,1000,3,1,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,zangief_5hk,ground_normal,5HK,Standing Heavy Kick,13,4,21,+3,+1,-,1000,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""1000"", ""supercombo"": ""1000""}, ""recovery"": {""match"": true, ""official"": ""21"", ""supercombo"": ""21""}, ""startup"": {""match"": true, ""official"": ""13"", ""supercombo"": ""13""}}"
9,通常技,しゃがみ弱P（ヘルフィンガー）,key-d key-plus icon_punch_l 弱,2LP,2LP,6,6-7,8,300,6,1,C,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match+damage_match,1,zangief_2lp,ground_normal,2LP,Crouching Light Punch,6(3),2,8,+6,+1,Chn Sp SA,300,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}"
10,通常技,[連打版]しゃがみ弱P（ヘルフィンガー）,key-d key-plus icon_punch_l 弱,2LP,2LP,3,3-4,8,300,6,1,C,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match+damage_match,1,zangief_2lp,ground_normal,2LP,Crouching Light Punch,6(3),2,8,+6,+1,Chn Sp SA,300,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}"
